"variable","R2","beta","p_value"
"ndvi",0.00345597315187016,18.3062856999313,0.416734423974022
"sd_3x3",0.0361978600581608,286.508952949512,0.00804390238563821
"mean_3x3",0.000585370965968907,7.67394910394048,0.738390608453156
