"ID","SUBREG.x","MEDIA_ALTU","SUMA_DAP_X","AREA_BASAL","richness","long","lat","FECHA_UM_A","PENDIENT_1","FECHA_UM_1"
22092035,"Chaco SemiÃƒÂ¡rido","9.141666667","4.059548455","15.15474451",12,"-61.4515","-24.93016667",2017,NA,2017
22092036,"Chaco SemiÃƒÂ¡rido","6.392857143","4.770783504","7.874677975",28,"-61.45041667","-25.02036111",2017,NA,2017
22092037,"Chaco SemiÃƒÂ¡rido","4.955172414","2.944100531","5.407911238",29,"-61.44925","-25.11063889",2018,"sin_pendiente",2018
22092038,"Chaco SemiÃƒÂ¡rido","5.117647059","4.681203678","9.500145796",34,"-61.44813889","-25.20086111",2018,"sin_pendiente",2018
22092039,"Chaco SemiÃƒÂ¡rido","6.07","7.006397804","22.48085929",40,"-61.44697222","-25.29108333",2018,"sin_pendiente",2018
22092040,"Chaco SemiÃƒÂ¡rido","6.440277778","5.752598629","11.1441435",36,"-61.44580556","-25.38136111",2017,NA,2017
22093033,"Chaco SemiÃƒÂ¡rido","6.026829268","6.031645046","9.381304209",41,"-61.35494444","-24.74861111",2017,"sin_pendiente",2017
22093037,"Chaco SemiÃƒÂ¡rido","6.915","6.726852174","11.2386669",40,"-61.35013889","-25.10958333",2017,NA,2017
22093042,"Chaco SemiÃƒÂ¡rido","5.887209302","6.004805359","11.04431971",43,"-61.34397222","-25.56075",2017,NA,2017
22093043,"Chaco SemiÃƒÂ¡rido","6.93220339","9.063676734","15.03822284",59,"-61.34277778","-25.65097222",2017,"sin_pendiente",2017
22094036,"Chaco SemiÃƒÂ¡rido","6.85","7.560099203","14.34737907",44,"-61.25230556","-25.01822222",2018,"sin_pendiente",2018
22094038,"Chaco SemiÃƒÂ¡rido","6.621875","5.158493511","9.799144514",32,"-61.24975","-25.19866667",2018,NA,2018
22094041,"Chaco SemiÃƒÂ¡rido","5.870338983","7.523003465","11.99140662",59,"-61.24583333","-25.46847222",2017,NA,2017
22094042,"Chaco SemiÃƒÂ¡rido","4.763043478","15.91927294","22.51289839",115,"-61.24552778","-25.55958333",2017,NA,2017
22095038,"Chaco SemiÃƒÂ¡rido","6","3.100286576","5.93367483",18,"-61.15058333","-25.19744444",2018,"sin_pendiente",2018
22095039,"Chaco SemiÃƒÂ¡rido","6.838461538","5.618465395","13.33841222",26,"-61.14922222","-25.28769444",2018,NA,2018
22095040,"Chaco SemiÃƒÂ¡rido","7.088571429","6.809696039","13.63458532",35,"-61.14783333","-25.37791667",2017,NA,2017
22096037,"Chaco SemiÃƒÂ¡rido","6.036956522","5.826820311","10.14954802",46,"-61.05280556","-25.10597222",2018,"sin_pendiente",2018
22096039,"Chaco SemiÃƒÂ¡rido","6.225","7.161056753","15.15540369",44,"-61.04994444","-25.28641667",2018,NA,2018
22097036,"Chaco SemiÃƒÂ¡rido","6.597777778","7.114523843","14.11750426",45,"-60.95527778","-25.01441667",2018,"sin_pendiente",2018
22097041,"Chaco SemiÃƒÂ¡rido","6.534482759","5.516620237","10.35838288",29,"-60.94769444","-25.4655",2017,NA,2017
22098040,"Chaco SemiÃƒÂ¡rido","8.951454545","3.922836617","13.31773418",11,"-60.84986111","-25.37386111",2017,NA,2017
22098041,"Chaco SemiÃƒÂ¡rido","7.3025","8.218023677","18.52527099",39,"-60.84836111","-25.46405556",2017,NA,2017
22099038,"Chaco SemiÃƒÂ¡rido","5.903225806","5.150588872","8.881559991",31,"-60.75397222","-25.19197222",2018,NA,2018
22099039,"Chaco SemiÃƒÂ¡rido","5.147540984","8.108876121","11.75003043",61,"-60.75230556","-25.28219444",2018,NA,2018
22099041,"Chaco SemiÃƒÂ¡rido","6.456","4.549940927","11.10111059",25,"-60.74894444","-25.46258333",2017,NA,2017
22099043,"Chaco SemiÃƒÂ¡rido","6.78974359","7.254060804","14.25019767",39,"-60.74558333","-25.64297222",2017,NA,2017
22100039,"Chaco SemiÃƒÂ¡rido","4.996610169","7.756119841","13.22823594",59,"-60.65313889","-25.28058333",2018,NA,2018
22100040,"Chaco SemiÃƒÂ¡rido","5.827586207","5.152912868","10.91567283",29,"-60.65133333","-25.37080556",2018,NA,2018
22100041,"Chaco SemiÃƒÂ¡rido","7.047619048","3.962307613","8.351650987",21,"-60.64961111","-25.46102778",2017,NA,2017
22100043,"Chaco SemiÃƒÂ¡rido","7.521428571","7.760426776","15.64641169",42,"-60.64611111","-25.64141667",2017,NA,2017
22101041,"Chaco SemiÃƒÂ¡rido","5.342222222","6.300676306","9.146101885",45,"-60.55027778","-25.45938889",2017,NA,2017
22102043,"Chaco SemiÃƒÂ¡rido","5.81","3.791482957","6.240467815",30,"-60.44713889","-25.63805556",2017,NA,2017
22103043,"Chaco SemiÃƒÂ¡rido","7.021428571","4.702714376","9.09244843",28,"-60.34763889","-25.63627778",2017,NA,2017
34084022,"Chaco SemiÃƒÂ¡rido","6.790625","5.657312523","14.43713029",32,"-62.25035","-23.76275",2018,NA,2018
34084023,"Chaco SemiÃƒÂ¡rido","5.812121212","4.771537221","10.14130212",33,"-62.24985","-23.85301667",2018,NA,2018
34085021,"Chaco SemiÃƒÂ¡rido","6.939473684","6.25852243","14.54344744",37,"-62.15281667","-23.67194444",2018,"sin_pendiente",2018
34085022,"Chaco SemiÃƒÂ¡rido","6.338888889","6.345611057","16.85554984",36,"-62.15228333","-23.76218333",2018,"sin_pendiente",2018
